epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75984,1.43378,7.00099,1.15271,0.14083,0.30357,0.07666,0.04702,0.99831,6.7941,1.1247,4.287e-05,4.287e-05,4.287e-05
2,7.36298,1.51188,6.88824,1.21796,0.13103,0.30357,0.07075,0.04586,1.0058,6.9124,1.12828,9.96999e-05,9.96999e-05,9.96999e-05
3,10.0313,1.39794,6.70638,1.18918,0.4685,0.77976,0.59055,0.44052,0.70212,4.0274,0.88214,0.000156153,0.000156153,0.000156153
4,12.8567,1.10596,3.85702,0.98028,0.74915,0.85119,0.84004,0.68151,0.66703,2.55336,0.85054,0.000212228,0.000212228,0.000212228
5,15.6869,0.91651,2.40271,0.93287,0.82758,0.80453,0.86804,0.69526,0.71968,2.2456,0.85966,0.000267926,0.000267926,0.000267926
6,18.4919,0.79816,1.71555,0.91254,0.84508,0.63673,0.82385,0.65891,0.7395,2.50499,0.87626,0.000323247,0.000323247,0.000323247
7,21.2537,0.73159,1.40728,0.89015,0.43754,0.38102,0.42897,0.36788,0.72047,3.27276,0.87329,0.000378191,0.000378191,0.000378191
8,24.0018,0.78078,1.17115,0.90781,0.1129,0.72619,0.16406,0.13168,0.75799,3.72249,0.88186,0.000432757,0.000432757,0.000432757
9,26.7211,0.77325,1.0268,0.89553,0.83303,0.73214,0.84679,0.65224,0.79632,1.64568,0.87892,0.000486946,0.000486946,0.000486946
10,29.4346,0.7924,0.89817,0.90679,0.91747,0.48477,0.76682,0.603,0.81251,2.56083,0.89378,0.000540758,0.000540758,0.000540758
11,32.1327,0.73364,0.8684,0.91456,0.931,0.75736,0.88037,0.65738,0.95321,2.14883,1.00798,0.000594192,0.000594192,0.000594192
12,34.8444,0.75189,0.82341,0.91257,0.81821,0.55637,0.72953,0.56367,0.88403,1.83418,0.92844,0.00064725,0.00064725,0.00064725
13,37.5394,0.69253,0.73348,0.86253,0.90799,0.63427,0.81074,0.63487,0.90615,1.92875,0.95053,0.00069993,0.00069993,0.00069993
14,40.2602,0.79513,0.81867,0.89596,0.88919,0.85881,0.91875,0.68065,0.866,0.77597,1.00674,0.000752233,0.000752233,0.000752233
15,43.0434,0.7478,0.72068,0.89398,0.86704,0.84086,0.93067,0.73417,0.79711,0.85741,0.95093,0.000804158,0.000804158,0.000804158
16,45.8294,0.69102,0.69133,0.90227,0.86841,0.8466,0.92495,0.74942,0.80578,0.78247,0.9319,0.000855707,0.000855707,0.000855707
17,48.5526,0.75562,0.72212,0.8985,0.93145,0.87218,0.91404,0.73717,0.80252,1.31506,0.94841,0.000906878,0.000906878,0.000906878
18,51.2316,0.74318,0.67869,0.90377,0.5985,0.48214,0.54266,0.41542,1.31887,4.18065,1.54545,0.000957672,0.000957672,0.000957672
19,53.9236,0.71571,0.59121,0.90027,0.75828,0.77023,0.80706,0.61415,0.91757,1.11042,0.96066,0.00100809,0.00100809,0.00100809
20,56.6242,0.74239,0.64593,0.90037,0.67231,0.79121,0.78784,0.56414,0.99726,1.33976,1.07008,0.00105813,0.00105813,0.00105813
21,59.3077,0.77065,0.69508,0.89959,0.26467,0.11905,0.11192,0.09084,1.96957,4.6524,1.81053,0.00110779,0.00110779,0.00110779
22,62.0135,0.75084,0.64044,0.90983,0.00032,0.02381,0.00019,0.00013,4.35187,114.667,9.90182,0.00115707,0.00115707,0.00115707
23,64.7189,0.79597,0.69353,0.9149,0.00284,0.02381,0.00057,0.00041,2.45191,114.047,2.24631,0.00120598,0.00120598,0.00120598
24,67.4085,0.73594,0.66407,0.9047,0.03532,0.04167,0.00834,0.00542,2.39472,98.0311,2.18332,0.00125451,0.00125451,0.00125451
25,70.1197,0.79842,0.67173,0.95002,0.43979,0.2381,0.29,0.19498,1.22666,inf,1.38371,0.00130266,0.00130266,0.00130266
26,72.8272,0.69288,0.59885,0.89044,0.97075,0.125,0.17171,0.12821,1.4936,3.25873,1.468,0.00131111,0.00131111,0.00131111
27,75.5408,0.76883,0.6102,0.92473,0.89461,0.58771,0.65893,0.46636,1.3326,2.21423,1.73181,0.00130639,0.00130639,0.00130639
28,78.2269,0.76829,0.62834,0.93504,0.7342,0.58606,0.67062,0.46611,1.09266,1.54748,1.3358,0.00130168,0.00130168,0.00130168
29,80.936,0.72096,0.63121,0.89787,0.85944,0.74765,0.87735,0.64864,0.96287,4.60713,1.10663,0.00129696,0.00129696,0.00129696
30,83.6306,0.75388,0.61109,0.89654,0.66134,0.74678,0.81374,0.56501,1.0462,4.22646,1.12122,0.00129224,0.00129224,0.00129224
31,86.355,0.73536,0.58106,0.89572,0.76531,0.77428,0.90713,0.64301,1.04219,1.83379,1.04673,0.00128753,0.00128753,0.00128753
32,89.0688,0.74065,0.58399,0.91816,0.53315,0.86735,0.75068,0.5987,0.84139,6.28231,0.98527,0.00128281,0.00128281,0.00128281
33,91.7776,0.71402,0.56841,0.8848,0.85438,0.85714,0.88406,0.6724,0.82397,2.16522,1.09415,0.0012781,0.0012781,0.0012781
34,94.4824,0.72195,0.55284,0.89986,0.88241,0.8273,0.84313,0.62725,0.9121,2.39156,1.16532,0.00127338,0.00127338,0.00127338
35,97.2009,0.73135,0.56082,0.90128,0.5343,0.34855,0.27174,0.20199,1.37112,9.02431,1.82703,0.00126867,0.00126867,0.00126867
36,99.9059,0.70544,0.58802,0.89147,0.7869,0.71139,0.76728,0.60497,0.9346,4.46574,1.10478,0.00126395,0.00126395,0.00126395
37,102.623,0.68894,0.54873,0.89008,0.86053,0.71088,0.84821,0.58561,1.09132,1.3264,1.32139,0.00125923,0.00125923,0.00125923
38,105.398,0.68723,0.54749,0.8812,0.83519,0.94779,0.93662,0.66983,0.9434,1.91193,1.05171,0.00125452,0.00125452,0.00125452
39,108.121,0.72311,0.55821,0.89729,0.90013,0.87356,0.95599,0.73879,0.8931,1.5315,1.1246,0.0012498,0.0012498,0.0012498
