epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.21002,1.48158,7.46258,1.2448,0.10578,0.41023,0.14433,0.07799,1.1287,6.21008,1.14287,8e-05,8e-05,8e-05
2,16.7932,1.10044,4.63711,1.0741,0.46847,0.67487,0.57076,0.47745,0.69385,2.1552,0.92589,0.000169439,0.000169439,0.000169439
3,22.675,0.83814,2.45169,0.9747,0.43493,0.59987,0.5082,0.41926,0.72014,3.23211,0.94153,0.000258284,0.000258284,0.000258284
4,28.4434,0.76705,1.81269,0.9422,0.50974,0.63294,0.5226,0.43092,0.73165,9.31022,0.9286,0.000346535,0.000346535,0.000346535
5,34.1847,0.73922,1.42548,0.92602,0.64182,0.75593,0.77346,0.62513,0.75097,1.34623,0.92187,0.000434192,0.000434192,0.000434192
6,39.9554,0.75434,1.24453,0.93217,0.63312,0.61039,0.62471,0.50741,0.78968,1.58912,0.9501,0.000521255,0.000521255,0.000521255
7,45.7821,0.74984,1.08004,0.93221,0.72077,0.70113,0.77307,0.63405,0.78232,1.58641,0.91903,0.000607724,0.000607724,0.000607724
8,51.5765,0.76484,0.96764,0.93074,0.61983,0.37348,0.51461,0.37406,0.81489,2.44779,0.95125,0.000693599,0.000693599,0.000693599
9,57.3684,0.77527,0.98999,0.93436,0.69317,0.18994,0.33862,0.26734,0.89299,3.55349,1.00756,0.00077888,0.00077888,0.00077888
10,63.1671,0.80849,0.95985,0.94951,0.25416,0.45188,0.38949,0.28285,1.32822,3.99727,1.30589,0.000863567,0.000863567,0.000863567
11,68.9681,0.79112,0.95164,0.94168,0.50002,0.01587,1e-05,0,3.25553,168.573,3.93073,0.00094766,0.00094766,0.00094766
12,74.8208,0.74676,0.97484,0.93268,0.79153,0.44401,0.67019,0.53009,0.8862,1.66843,1.08023,0.0009637,0.0009637,0.0009637
13,80.6857,0.74077,0.86342,0.93111,0.49073,0.71211,0.60222,0.45618,1.00555,2.89723,1.16878,0.0009604,0.0009604,0.0009604
14,86.4832,0.76132,0.81969,0.93902,0.72918,0.54683,0.64684,0.43955,1.21562,2.06267,1.31044,0.0009571,0.0009571,0.0009571
15,92.3203,0.73575,0.81723,0.92061,0.67883,0.62027,0.6951,0.53382,0.9229,1.66923,1.09902,0.0009538,0.0009538,0.0009538
16,98.1283,0.75174,0.77221,0.94088,0.62071,0.43329,0.51787,0.35221,1.33067,2.45419,1.41319,0.0009505,0.0009505,0.0009505
17,103.907,0.73692,0.80315,0.93815,0.57853,0.69544,0.67568,0.55907,0.81544,1.9387,1.10017,0.0009472,0.0009472,0.0009472
18,109.649,0.73093,0.80354,0.9301,0.84835,0.84928,0.87119,0.71829,0.75932,0.89105,1.00902,0.0009439,0.0009439,0.0009439
19,115.443,0.74193,0.76379,0.93154,0.56646,0.65093,0.73978,0.60877,0.83377,2.1663,1.04596,0.0009406,0.0009406,0.0009406
20,121.211,0.72957,0.70746,0.93048,0.83877,0.83657,0.9025,0.73682,0.81318,0.85296,1.01779,0.0009373,0.0009373,0.0009373
21,126.988,0.7059,0.7009,0.92975,0.74297,0.71902,0.79792,0.64415,0.8135,1.17303,1.09233,0.000934,0.000934,0.000934
22,132.756,0.66635,0.68956,0.92168,0.85308,0.86796,0.89253,0.71848,0.81835,0.81621,1.0838,0.0009307,0.0009307,0.0009307
23,138.813,0.66635,0.66645,0.90032,0.75951,0.84617,0.81733,0.63986,0.84365,1.11918,1.11267,0.0009274,0.0009274,0.0009274
24,144.681,0.68003,0.69515,0.90901,0.82273,0.63588,0.72888,0.57387,0.86978,1.43159,1.09912,0.0009241,0.0009241,0.0009241
25,150.407,0.64919,0.65108,0.90582,0.88238,0.86714,0.9038,0.76077,0.72992,0.72066,1.00666,0.0009208,0.0009208,0.0009208
26,156.197,0.68164,0.69546,0.9203,0.80729,0.8493,0.88147,0.72919,0.73956,0.87742,0.96944,0.0009175,0.0009175,0.0009175
27,161.946,0.70856,0.68845,0.92812,0.85413,0.78928,0.85155,0.69659,0.737,0.89552,1.03477,0.0009142,0.0009142,0.0009142
28,167.693,0.67041,0.64207,0.91429,0.88547,0.84694,0.90185,0.74586,0.69669,0.68703,0.97514,0.0009109,0.0009109,0.0009109
29,173.439,0.63185,0.58979,0.89253,0.85582,0.85713,0.88995,0.75008,0.67474,0.7713,0.94437,0.0009076,0.0009076,0.0009076
30,179.195,0.64659,0.61268,0.91228,0.52288,0.664,0.5969,0.47609,0.89436,1.6975,1.06321,0.0009043,0.0009043,0.0009043
31,184.976,0.65113,0.61574,0.90586,0.71531,0.64932,0.72327,0.56642,0.82181,1.16799,1.03785,0.000901,0.000901,0.000901
32,190.728,0.65127,0.5923,0.91251,0.77986,0.80166,0.81181,0.68159,0.728,0.97792,0.98801,0.0008977,0.0008977,0.0008977
33,196.475,0.63759,0.56731,0.8934,0.75382,0.84595,0.85228,0.71178,0.69064,0.84874,0.96792,0.0008944,0.0008944,0.0008944
34,202.238,0.60322,0.55564,0.89903,0.83345,0.72701,0.78483,0.67024,0.64097,1.19129,0.894,0.0008911,0.0008911,0.0008911
35,208.026,0.6169,0.56316,0.88473,0.84546,0.69855,0.81115,0.66481,0.69553,1.11707,0.94785,0.0008878,0.0008878,0.0008878
36,213.877,0.62171,0.56055,0.89289,0.51096,0.67913,0.6466,0.50818,0.83057,1.8713,1.08504,0.0008845,0.0008845,0.0008845
37,219.639,0.60789,0.57597,0.89945,0.89067,0.87215,0.90301,0.77145,0.64129,0.65614,0.92621,0.0008812,0.0008812,0.0008812
38,225.482,0.59336,0.56303,0.88734,0.8536,0.83888,0.88254,0.71129,0.7364,0.74705,0.98187,0.0008779,0.0008779,0.0008779
39,231.304,0.59009,0.56064,0.89124,0.90592,0.83169,0.90134,0.77008,0.66403,0.74666,0.95556,0.0008746,0.0008746,0.0008746
40,237.055,0.59026,0.57184,0.88621,0.84433,0.89706,0.88386,0.73653,0.70996,0.74328,0.97272,0.0008713,0.0008713,0.0008713
41,242.846,0.58262,0.54478,0.89201,0.85498,0.88166,0.92294,0.79345,0.63238,0.66785,0.95065,0.000868,0.000868,0.000868
42,248.646,0.57943,0.50834,0.87742,0.83077,0.92154,0.92527,0.79286,0.6789,0.64659,0.98365,0.0008647,0.0008647,0.0008647
43,254.402,0.59814,0.51891,0.88143,0.90332,0.87628,0.94458,0.80182,0.64136,0.61706,0.92942,0.0008614,0.0008614,0.0008614
44,260.194,0.59575,0.5118,0.88439,0.88188,0.90676,0.94501,0.7938,0.61302,0.606,0.92516,0.0008581,0.0008581,0.0008581
45,266.208,0.60307,0.51251,0.892,0.89258,0.90051,0.92867,0.78066,0.65526,0.57951,0.98121,0.0008548,0.0008548,0.0008548
46,272.039,0.61676,0.54367,0.90286,0.7756,0.81871,0.83961,0.69906,0.7083,0.81186,0.98809,0.0008515,0.0008515,0.0008515
